,Format,Game Location,Line,Length,Location,Speed,Bowling Style,Bounce,Out
39,Test,Hyderabad (Deccan),Off Stump,Full,Offside,120,Right-arm medium-fast,Normal,0
40,Test,Hyderabad (Deccan),Off Stump,Short,Midwicket,115,Right-arm medium-fast,Normal,0
41,Test,Hyderabad (Deccan),Offside,Good,Offside,-1,,Normal,0
42,Test,Hyderabad (Deccan),Off Stump,Good,Wicketkeeper,-1,,Normal,0
43,Test,Hyderabad (Deccan),Off Stump,Short,Long-on,72,Right arm Offbreak,Normal,0
44,Test,Hyderabad (Deccan),Middle Stump,Good,Close,82,Right arm Offbreak,Normal,0
45,Test,Hyderabad (Deccan),Off Stump,Good,Offside,-1,,Normal,0
46,Test,Hyderabad (Deccan),Middle Stump,Short,Close,-1,,Normal,0
47,Test,Hyderabad (Deccan),Off Stump,Full,Midwicket,76,Right arm Offbreak,Normal,0
48,Test,Hyderabad (Deccan),Off Stump,Good,Offside,86,Right arm Offbreak,Normal,0
49,Test,Hyderabad (Deccan),Legside,Short,Square Leg,70,Right arm Offbreak,Normal,0
50,Test,Hyderabad (Deccan),Legside,Good,Short Leg,59,Slow Left arm Orthodox,Normal,0
51,Test,Hyderabad (Deccan),Middle Stump,Full,Close,62,Slow Left arm Orthodox,Normal,0
52,Test,Hyderabad (Deccan),Middle Stump,Good,Close,54,Slow Left arm Orthodox,Normal,0
53,Test,Hyderabad (Deccan),Legside,Short,Short Leg,59,Slow Left arm Orthodox,Normal,0
54,Test,Hyderabad (Deccan),Middle Stump,Short,Close,53,Slow Left arm Orthodox,Normal,0
55,Test,Hyderabad (Deccan),Leg Stump,Full,Legside,55,Slow Left arm Orthodox,Normal,0
56,Test,Hyderabad (Deccan),Middle Stump,Good,Mid-On,54,Slow Left arm Orthodox,Normal,0
57,Test,Hyderabad (Deccan),Offside,Good,Wicketkeeper,53,Slow Left arm Orthodox,Normal,0
58,Test,Hyderabad (Deccan),Offside,Good,Offside,57,Slow Left arm Orthodox,Normal,0
59,Test,Hyderabad (Deccan),Offside,Short,Midwicket,63,Slow Left arm Orthodox,Normal,0
60,Test,Hyderabad (Deccan),Middle Stump,Short,Mid-On,-1,,Normal,0
61,Test,Hyderabad (Deccan),Off Stump,Full,Close,-1,,Normal,0
62,Test,Hyderabad (Deccan),Middle Stump,Full,Close,-1,,Normal,0
63,Test,Hyderabad (Deccan),Off Stump,Good,Close,-1,,Normal,0
64,Test,Hyderabad (Deccan),Middle Stump,Good,Wicketkeeper,-1,,Normal,0
65,Test,Hyderabad (Deccan),Middle Stump,Full,Extra Cover,59,Slow Left arm Orthodox,Normal,0
66,Test,Hyderabad (Deccan),Middle Stump,Good,Close,58,Slow Left arm Orthodox,Normal,0
67,Test,Hyderabad (Deccan),Offside,Good,Offside,56,Slow Left arm Orthodox,Normal,0
68,Test,Hyderabad (Deccan),Middle Stump,Full,Mid-Off,55,Slow Left arm Orthodox,Normal,0
69,Test,Hyderabad (Deccan),Middle Stump,Good,Offside,58,Slow Left arm Orthodox,Normal,0
70,Test,Hyderabad (Deccan),Legside,Short,Square Leg,-1,,Normal,0
71,Test,Hyderabad (Deccan),Off Stump,Good,Offside,-1,,Normal,0
72,Test,Hyderabad (Deccan),Leg Stump,Good,Close,-1,,Normal,0
73,Test,Hyderabad (Deccan),Leg Stump,Short,Midwicket,-1,,Normal,0
74,Test,Hyderabad (Deccan),Offside,Good,Close,81,Legbreak,Normal,0
75,Test,Hyderabad (Deccan),Offside,Short,Long-on,76,Legbreak,Normal,0
76,Test,Hyderabad (Deccan),Middle Stump,Short,Close,90,Legbreak,Normal,0
77,Test,Hyderabad (Deccan),Wide Outside Off,Short,Deep Point,94,Legbreak,Normal,0
78,Test,Hyderabad (Deccan),Off Stump,Full,Close,-1,,Normal,0
79,Test,Hyderabad (Deccan),Off Stump,Full,Close,-1,,Normal,0
80,Test,Hyderabad (Deccan),Middle Stump,Short,Close,-1,,Normal,0
81,Test,Hyderabad (Deccan),Middle Stump,Good,Midwicket,-1,,Normal,0
82,Test,Hyderabad (Deccan),Legside,Good,Fine Leg,-1,,Normal,0
83,Test,Hyderabad (Deccan),Middle Stump,Full,Close,94,Legbreak,Normal,0
84,Test,Hyderabad (Deccan),Middle Stump,Full,Point,92,Legbreak,Normal,0
85,Test,Hyderabad (Deccan),Off Stump,Full,Long-on,76,Legbreak,Normal,0
86,Test,Hyderabad (Deccan),Off Stump,Good,Wicketkeeper,-1,,Normal,0
87,Test,Hyderabad (Deccan),Offside,Good,Offside,-1,,Normal,0
88,Test,Hyderabad (Deccan),Off Stump,Good,Close,-1,,Normal,0
89,Test,Hyderabad (Deccan),Middle Stump,Good,Point,-1,,Normal,0
90,Test,Hyderabad (Deccan),Off Stump,Good,Offside,-1,,Normal,0
91,Test,Hyderabad (Deccan),Middle Stump,Good,Close,-1,,Normal,0
92,Test,Hyderabad (Deccan),Off Stump,Good,Offside,92,Legbreak,Normal,0
93,Test,Hyderabad (Deccan),Offside,Short,Offside,72,Legbreak,Normal,0
94,Test,Hyderabad (Deccan),Middle Stump,Full,Close,73,Legbreak,Normal,0
95,Test,Hyderabad (Deccan),Offside,Short,Third Man,70,Legbreak,Normal,0
96,Test,Hyderabad (Deccan),Off Stump,Good,Point,-1,,Normal,0
97,Test,Hyderabad (Deccan),Middle Stump,Good,Close,-1,,Normal,0
98,Test,Hyderabad (Deccan),Off Stump,Full,Close,-1,,Normal,0
99,Test,Hyderabad (Deccan),Legside,Good,Square Leg,-1,,Normal,0
100,Test,Hyderabad (Deccan),Offside,Full,Covers,-1,,Normal,0
101,Test,Hyderabad (Deccan),Middle Stump,Good,Close,89,Right arm Offbreak,Normal,0
102,Test,Hyderabad (Deccan),Off Stump,Full,Short Leg,88,Right arm Offbreak,Normal,0
103,Test,Hyderabad (Deccan),Legside,Good,Deep Square Leg,92,Right arm Offbreak,Normal,0
104,Test,Hyderabad (Deccan),Wide Outside Off,Full,Close,141,Right-arm fast,Normal,0
105,Test,Hyderabad (Deccan),Legside,Good,Legside,149,Right-arm fast,Normal,0
106,Test,Hyderabad (Deccan),Offside,Full,Mid-Off,140,Right-arm fast,Normal,0
107,Test,Hyderabad (Deccan),Wide Outside Off,Short,Point,147,Right-arm fast,Normal,0
108,Test,Hyderabad (Deccan),Offside,Short,Offside,143,Right-arm fast,Normal,0
109,Test,Hyderabad (Deccan),Middle Stump,Good,Close,144,Right-arm fast,Normal,0
110,Test,Hyderabad (Deccan),Wide Outside Off,Short,Deep Point,118,Right-arm medium-fast,Normal,0
111,Test,Hyderabad (Deccan),Offside,Full,Wicketkeeper,124,Right-arm medium-fast,Normal,0
112,Test,Hyderabad (Deccan),Middle Stump,Full,Close,117,Right-arm medium-fast,High,0
113,Test,Hyderabad (Deccan),Offside,Full,Offside,116,Right-arm medium-fast,Normal,0
114,Test,Hyderabad (Deccan),Legside,Good,Deep Square Leg,118,Right-arm medium-fast,Normal,0
115,Test,Hyderabad (Deccan),Middle Stump,Back of a Length,Wicketkeeper,142,Right-arm fast,Normal,0
116,Test,Hyderabad (Deccan),Offside,Short,Third Man,148,Right-arm fast,Normal,0
117,Test,Hyderabad (Deccan),Off Stump,Short,Close,142,Right-arm fast,Normal,0
118,Test,Hyderabad (Deccan),Off Stump,Good,Midwicket,145,Right-arm fast,Normal,0
119,Test,Hyderabad (Deccan),Middle Stump,Short,Midwicket,119,Right-arm medium-fast,High,0
120,Test,Hyderabad (Deccan),Middle Stump,Good,Close,122,Right-arm medium-fast,Normal,0
121,Test,Hyderabad (Deccan),Offside,Back of a Length,Third Man,113,Right-arm medium-fast,Normal,0
122,Test,Hyderabad (Deccan),Offside,Back of a Length,Offside,146,Right-arm fast,Normal,0
123,Test,Hyderabad (Deccan),Offside,Short,Offside,147,Right-arm fast,Normal,0
124,Test,Hyderabad (Deccan),Middle Stump,Short,Wicketkeeper,143,Right-arm fast,High,0
125,Test,Hyderabad (Deccan),Off Stump,Full,Mid-On,145,Right-arm fast,Normal,0
126,Test,Hyderabad (Deccan),Middle Stump,Good,Mid-On,146,Right-arm fast,Normal,0
127,Test,Hyderabad (Deccan),Off Stump,Full,Long-on,146,Right-arm fast,Normal,0
128,Test,Hyderabad (Deccan),Offside,Full,Midwicket,82,Right arm Offbreak,Normal,0
129,Test,Hyderabad (Deccan),Offside,Full,Midwicket,82,Right arm Offbreak,Normal,0
130,Test,Hyderabad (Deccan),Middle Stump,Short,Deep Midwicket,146,Right-arm fast,High,0
131,Test,Hyderabad (Deccan),Off Stump,Full,Mid-On,-1,,Normal,0
132,Test,Hyderabad (Deccan),Offside,Good,Offside,-1,,Normal,0
133,Test,Hyderabad (Deccan),Middle Stump,Full,Close,-1,,Normal,0
134,Test,Hyderabad (Deccan),Legside,Good,Close,-1,,Normal,0
135,Test,Hyderabad (Deccan),Middle Stump,Full,Close,-1,,Normal,0
136,Test,Hyderabad (Deccan),Middle Stump,Good,Close,-1,,Normal,0
137,Test,Hyderabad (Deccan),Middle Stump,Good,Wicketkeeper,53,Slow Left arm Orthodox,Normal,0
138,Test,Hyderabad (Deccan),Middle Stump,Good,Close,60,Slow Left arm Orthodox,Normal,0
139,Test,Hyderabad (Deccan),Legside,Good,Square Leg,51,Slow Left arm Orthodox,Normal,0
140,Test,Hyderabad (Deccan),Offside,Good,Offside,148,Right-arm fast,Normal,0
141,Test,Hyderabad (Deccan),Wide Outside Off,Short,Close,140,Right-arm fast,Normal,0
142,Test,Hyderabad (Deccan),Middle Stump,Back of a Length,Close,145,Right-arm fast,Normal,0
143,Test,Hyderabad (Deccan),Off Stump,Good,Offside,144,Right-arm fast,Normal,0
144,Test,Hyderabad (Deccan),Middle Stump,Good,Close,60,Slow Left arm Orthodox,Normal,0
145,Test,Hyderabad (Deccan),Leg Stump,Good,Square Leg,53,Slow Left arm Orthodox,Normal,0
146,Test,Hyderabad (Deccan),Off Stump,Full,Close,55,Slow Left arm Orthodox,Normal,0
147,Test,Hyderabad (Deccan),Offside,Full,Sweeper,59,Slow Left arm Orthodox,Normal,0
148,Test,Hyderabad (Deccan),Wide Outside Off,Short,Deep Point,141,Right-arm fast,Normal,0
149,Test,Hyderabad (Deccan),Middle Stump,Full,Point,143,Right-arm fast,Normal,0
150,Test,Hyderabad (Deccan),Offside,Full,Offside,149,Right-arm fast,Normal,0
151,Test,Hyderabad (Deccan),Off Stump,Good,Offside,139,Right-arm fast,Normal,0
152,Test,Hyderabad (Deccan),Off Stump,Full,Close,141,Right-arm fast,Normal,0
153,Test,Hyderabad (Deccan),Offside,Good,Close,149,Right-arm fast,Normal,0
154,Test,Hyderabad (Deccan),Middle Stump,Good,Close,146,Right-arm fast,Normal,0
155,Test,Hyderabad (Deccan),Offside,Good,Offside,142,Right-arm fast,Normal,0
156,Test,Hyderabad (Deccan),Middle Stump,Good,Close,149,Right-arm fast,Normal,0
157,Test,Hyderabad (Deccan),Wide Outside Off,Good,Wicketkeeper,149,Right-arm fast,Normal,0
158,Test,Hyderabad (Deccan),Middle Stump,Full,Close,146,Right-arm fast,Normal,0
159,Test,Hyderabad (Deccan),Middle Stump,Short,Close,140,Right-arm fast,High,0
160,Test,Hyderabad (Deccan),Middle Stump,Short,Close,145,Right-arm fast,High,0
161,Test,Hyderabad (Deccan),Middle Stump,Short,Long Leg,143,Right-arm fast,Normal,0
162,Test,Hyderabad (Deccan),Middle Stump,Short,Gully,133,Right-arm fast,Normal,0
163,Test,Hyderabad (Deccan),Off Stump,Back of a Length,Mid-On,143,Right-arm fast,Normal,0
164,Test,Hyderabad (Deccan),Off Stump,Good,Close,55,Slow Left arm Orthodox,Normal,0
165,Test,Hyderabad (Deccan),Middle Stump,Good,Mid-Off,60,Slow Left arm Orthodox,Normal,0
166,Test,Hyderabad (Deccan),Middle Stump,Full,Long-off,53,Slow Left arm Orthodox,Normal,0
167,Test,Hyderabad (Deccan),Wide Outside Off,Short,Third Man,140,Right-arm fast,Normal,0
168,Test,Hyderabad (Deccan),Middle Stump,Short,Close,147,Right-arm fast,High,0
169,Test,Hyderabad (Deccan),Middle Stump,Full,Midwicket,144,Right-arm fast,Normal,0
170,Test,Hyderabad (Deccan),Off Stump,Full,Mid-Off,143,Right-arm fast,Normal,0
171,Test,Hyderabad (Deccan),Legside,Full,Square Leg,56,Slow Left arm Orthodox,Normal,0
172,Test,Hyderabad (Deccan),Legside,Good,Legside,63,Slow Left arm Orthodox,Normal,0
173,Test,Hyderabad (Deccan),Offside,Short,Wicketkeeper,124,Right-arm medium-fast,Normal,0
174,Test,Hyderabad (Deccan),Wide Outside Off,Short,Deep Point,121,Right-arm medium-fast,Normal,0
175,Test,Hyderabad (Deccan),Middle Stump,Good,Close,-1,,Normal,0
176,Test,Hyderabad (Deccan),Offside,Full,Long-off,-1,,Normal,0
177,Test,Hyderabad (Deccan),Off Stump,Good,Midwicket,73,Right arm Offbreak,Normal,0
178,Test,Hyderabad (Deccan),Off Stump,Full,Long-on,91,Right arm Offbreak,Normal,0
179,Test,Hyderabad (Deccan),Offside,Good,Close,91,Right arm Offbreak,Normal,0
180,Test,Hyderabad (Deccan),Offside,Short,Point,-1,,Normal,0
181,Test,Hyderabad (Deccan),Middle Stump,Good,Midwicket,-1,,Normal,0
182,Test,Hyderabad (Deccan),Off Stump,Good,Close,-1,,Normal,0
183,Test,Hyderabad (Deccan),Middle Stump,Full,Long-off,-1,,High,0
184,Test,Hyderabad (Deccan),Offside,Full,Offside,86,Right arm Offbreak,Normal,0
185,Test,Hyderabad (Deccan),Offside,Short,Sweeper,86,Right arm Offbreak,Normal,0
186,Test,Hyderabad (Deccan),Off Stump,Good,Close,-1,,Normal,0
187,Test,Hyderabad (Deccan),Middle Stump,Short,Deep Midwicket,-1,,High,0
188,Test,Hyderabad (Deccan),Offside,Good,Point,-1,,Normal,0
189,Test,Hyderabad (Deccan),Off Stump,Good,Wicketkeeper,-1,,Normal,0
190,Test,Hyderabad (Deccan),Offside,Good,Close,-1,,Normal,0
191,Test,Hyderabad (Deccan),Offside,Good,Wicketkeeper,-1,,Normal,0
192,Test,Hyderabad (Deccan),Offside,Good,Deep Midwicket,71,Right arm Offbreak,Normal,0
193,Test,Hyderabad (Deccan),Legside,Short,Square Leg,-1,,Normal,0
194,Test,Hyderabad (Deccan),Middle Stump,Full,Mid-Off,-1,,Normal,0
195,Test,Hyderabad (Deccan),Offside,Full,Offside,-1,,Normal,0
196,Test,Hyderabad (Deccan),Offside,Full,Long-on,89,Right arm Offbreak,Normal,0
197,Test,Hyderabad (Deccan),Offside,Good,Wicketkeeper,89,Right arm Offbreak,Normal,0
198,Test,Hyderabad (Deccan),Legside,Good,Deep Square Leg,76,Right arm Offbreak,Normal,0
199,Test,Hyderabad (Deccan),Legside,Good,Square Leg,-1,,Normal,0
200,Test,Hyderabad (Deccan),Middle Stump,Good,Close,-1,,Normal,0
201,Test,Hyderabad (Deccan),Middle Stump,Full,Long-off,-1,,Normal,0
202,Test,Hyderabad (Deccan),Offside,Good,Offside,85,Right arm Offbreak,Normal,0
203,Test,Hyderabad (Deccan),Offside,Full,Wicketkeeper,73,Right arm Offbreak,Normal,0
204,Test,Hyderabad (Deccan),Off Stump,Good,Legside,84,Right arm Offbreak,Normal,0
205,Test,Hyderabad (Deccan),Off Stump,Short,Midwicket,83,Right arm Offbreak,Normal,0
206,Test,Hyderabad (Deccan),Middle Stump,Short,Midwicket,-1,,Normal,0
207,Test,Hyderabad (Deccan),Legside,Full,Deep Square Leg,-1,,Normal,0
208,Test,Hyderabad (Deccan),Offside,Good,Offside,90,Right arm Offbreak,Normal,0
209,Test,Hyderabad (Deccan),Offside,Good,Offside,94,Right arm Offbreak,Normal,0
210,Test,Hyderabad (Deccan),Offside,Good,Midwicket,86,Right arm Offbreak,Normal,0
211,Test,Hyderabad (Deccan),Offside,Short,Deep Point,81,Right arm Offbreak,Normal,0
212,Test,Hyderabad (Deccan),Legside,Good,Deep Midwicket,-1,,Normal,0
213,Test,Hyderabad (Deccan),Offside,Short,Point,79,Right arm Offbreak,Normal,0
214,Test,Hyderabad (Deccan),Offside,Good,Close,93,Right arm Offbreak,Normal,0
215,Test,Hyderabad (Deccan),Middle Stump,Good,Point,72,Right arm Offbreak,Normal,0
216,Test,Hyderabad (Deccan),Leg Stump,Full,Mid-On,77,Right arm Offbreak,Normal,0
217,Test,Hyderabad (Deccan),Middle Stump,Good,Offside,84,Right arm Offbreak,Normal,0
218,Test,Hyderabad (Deccan),Middle Stump,Good,Close,84,Right arm Offbreak,Normal,0
219,Test,Hyderabad (Deccan),Offside,Full,Mid-Off,80,Right arm Offbreak,Normal,0
220,Test,Hyderabad (Deccan),Legside,Good,Square Leg,78,Right arm Offbreak,Normal,0
221,Test,Hyderabad (Deccan),Offside,Short,Close,-1,,Normal,0
222,Test,Hyderabad (Deccan),Middle Stump,Good,Close,-1,,Normal,0
223,Test,Hyderabad (Deccan),Offside,Good,Close,-1,,Normal,0
224,Test,Hyderabad (Deccan),Off Stump,Good,Close,-1,,Normal,0
225,Test,Hyderabad (Deccan),Middle Stump,Full,Midwicket,-1,,Normal,0
226,Test,Hyderabad (Deccan),Middle Stump,Full,Close,81,Right arm Offbreak,Normal,0
227,Test,Hyderabad (Deccan),Offside,Full,Midwicket,77,Right arm Offbreak,Normal,0
228,Test,Hyderabad (Deccan),Offside,Short,Third Man,85,Right arm Offbreak,Normal,0
229,Test,Hyderabad (Deccan),Off Stump,Full,Point,-1,,Normal,0
230,Test,Hyderabad (Deccan),Wide Outside Off,Short,Point,-1,,Normal,0
231,Test,Hyderabad (Deccan),Middle Stump,Full,Midwicket,-1,,Normal,0
232,Test,Hyderabad (Deccan),Middle Stump,Good,Midwicket,84,Right arm Offbreak,Normal,0
233,Test,Hyderabad (Deccan),Middle Stump,Good,Midwicket,83,Right arm Offbreak,Normal,0
234,Test,Hyderabad (Deccan),Middle Stump,Good,Close,89,Right arm Offbreak,Normal,0
235,Test,Hyderabad (Deccan),Offside,Good,Offside,88,Right arm Offbreak,Normal,0
236,Test,Hyderabad (Deccan),Middle Stump,Short,Midwicket,94,Right arm Offbreak,Normal,0
237,Test,Hyderabad (Deccan),Offside,Full,Extra Cover,-1,,Normal,0
238,Test,Hyderabad (Deccan),Offside,Short,Point,-1,,Normal,0
239,Test,Hyderabad (Deccan),Offside,Good,Wicketkeeper,-1,,Normal,0
240,Test,Hyderabad (Deccan),Off Stump,Good,Close,-1,,Normal,0
241,Test,Hyderabad (Deccan),Off Stump,Full,Point,-1,,Normal,0
242,Test,Hyderabad (Deccan),Offside,Full,Offside,-1,,Normal,0
243,Test,Hyderabad (Deccan),Legside,Good,Deep Square Leg,81,Right arm Offbreak,Normal,0
244,Test,Hyderabad (Deccan),Off Stump,Full,Offside,-1,,Normal,1
245,Test,Hyderabad (Deccan),Middle Stump,Good,Close,144,Right-arm fast,Normal,0
246,Test,Hyderabad (Deccan),Middle Stump,Full,Close,149,Right-arm fast,Normal,0
247,Test,Hyderabad (Deccan),Offside,Back of a Length,Wicketkeeper,145,Right-arm fast,Normal,0
248,Test,Hyderabad (Deccan),Middle Stump,Short,Wicketkeeper,145,Right-arm fast,High,0
249,Test,Hyderabad (Deccan),Off Stump,Full,Covers,142,Right-arm fast,Normal,0
250,Test,Hyderabad (Deccan),Off Stump,Back of a Length,Third Man,149,Right-arm fast,Normal,0
251,Test,Hyderabad (Deccan),Off Stump,Back of a Length,Sweeper,-1,,Normal,0
252,Test,Hyderabad (Deccan),Offside,Full,Sweeper,-1,,Normal,0
253,Test,Hyderabad (Deccan),Off Stump,Good,Offside,-1,,Normal,0
254,Test,Hyderabad (Deccan),Off Stump,Back of a Length,Midwicket,-1,,Normal,0
255,Test,Hyderabad (Deccan),Off Stump,Good,Point,-1,,Normal,0
256,Test,Hyderabad (Deccan),Off Stump,Good,Deep Square Leg,141,Right-arm fast,Normal,0
257,Test,Hyderabad (Deccan),Wide Outside Off,Short,Deep Point,142,Right-arm fast,Normal,0
258,Test,Hyderabad (Deccan),Wide Outside Off,Good,Sweeper,-1,,Normal,0
259,Test,Hyderabad (Deccan),Middle Stump,Full,Square Leg,-1,,Normal,0
260,Test,Hyderabad (Deccan),Off Stump,Back of a Length,Offside,-1,,Normal,0
261,Test,Hyderabad (Deccan),Legside,Good,Midwicket,-1,,Normal,0
262,Test,Hyderabad (Deccan),Middle Stump,Good,Close,-1,Right-arm fast,Normal,0
263,Test,Hyderabad (Deccan),Legside,Short,Wicketkeeper,142,Right-arm fast,Normal,0
264,Test,Hyderabad (Deccan),Off Stump,Short,Third Man,149,Right-arm fast,High,0
265,Test,Hyderabad (Deccan),Off Stump,Full,Offside,51,Slow Left arm Orthodox,Normal,0
266,Test,Hyderabad (Deccan),Off Stump,Short,Midwicket,55,Slow Left arm Orthodox,High,0
267,Test,Hyderabad (Deccan),Legside,Short,Close,61,Slow Left arm Orthodox,Normal,0
268,Test,Hyderabad (Deccan),Middle Stump,Full,Close,58,Slow Left arm Orthodox,Normal,0
269,Test,Hyderabad (Deccan),Middle Stump,Full,Midwicket,52,Slow Left arm Orthodox,Normal,0
270,Test,Hyderabad (Deccan),Offside,Back of a Length,Point,148,Right-arm fast,Normal,0
271,Test,Hyderabad (Deccan),Wide Outside Off,Short,Close,141,Right-arm fast,Normal,0
272,Test,Hyderabad (Deccan),Legside,Short,Deep Square Leg,147,Right-arm fast,High,0
273,Test,Hyderabad (Deccan),Off Stump,Full,Long-off,51,Slow Left arm Orthodox,Normal,0
274,Test,Hyderabad (Deccan),Off Stump,Full,Close,61,Slow Left arm Orthodox,Normal,0
275,Test,Hyderabad (Deccan),Middle Stump,Back of a Length,Midwicket,51,Slow Left arm Orthodox,Normal,0
276,Test,Hyderabad (Deccan),Wide Outside Off,Short,Close,75,Right arm Offbreak,Normal,0
277,Test,Hyderabad (Deccan),Offside,Short,Wicketkeeper,81,Right arm Offbreak,Normal,0
278,Test,Hyderabad (Deccan),Offside,Full,Close,81,Right arm Offbreak,Normal,0
279,Test,Hyderabad (Deccan),Offside,Short,Offside,91,Right arm Offbreak,Normal,0
280,Test,Hyderabad (Deccan),Off Stump,Full,Wicketkeeper,52,Slow Left arm Orthodox,Normal,0
281,Test,Hyderabad (Deccan),Middle Stump,Short,Long-on,63,Slow Left arm Orthodox,Normal,0
282,Test,Hyderabad (Deccan),Legside,Good,Legside,60,Slow Left arm Orthodox,Normal,0
283,Test,Hyderabad (Deccan),Middle Stump,Good,Close,-1,Slow Left arm Orthodox,Normal,0
284,Test,Hyderabad (Deccan),Middle Stump,Good,Midwicket,51,Slow Left arm Orthodox,Normal,1
285,Test,Pune,Offside,Good,Offside,145,Left-arm fast,Normal,0
286,Test,Pune,Wide Outside Off,Full,First slip,147,Left-arm fast,Normal,1
287,Test,Pune,Legside,Good,Deep Square Leg,86,Right arm Offbreak,Normal,0
288,Test,Pune,Offside,Good,Offside,59,Slow left-arm orthodox,Normal,0
289,Test,Pune,Legside,Good,Fine Leg,62,Slow left-arm orthodox,Normal,0
290,Test,Pune,Offside,Good,Close,87,Right arm Offbreak,Normal,0
291,Test,Pune,Legside,Good,Legside,77,Right arm Offbreak,Normal,0
292,Test,Pune,Legside,Good,Square Leg,78,Right arm Offbreak,Normal,0
293,Test,Pune,Offside,Good,Close,89,Right arm Offbreak,Normal,0
294,Test,Pune,Legside,Short,Short Leg,72,Right arm Offbreak,Normal,0
295,Test,Pune,Middle Stump,Good,Close,57,Slow left-arm orthodox,Normal,0
296,Test,Pune,Offside,Good,Offside,62,Slow left-arm orthodox,Normal,0
297,Test,Pune,Legside,Full,Legside,55,Slow left-arm orthodox,Normal,0
298,Test,Pune,Legside,Good,Square Leg,60,Slow left-arm orthodox,Normal,0
299,Test,Pune,Middle Stump,Good,Close,50,Slow left-arm orthodox,Normal,0
300,Test,Pune,Middle Stump,Good,Offside,50,Slow left-arm orthodox,Normal,0
301,Test,Pune,Legside,Good,Fine Leg,55,Slow left-arm orthodox,Normal,0
